,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",48.3,pg/g,0.485,Y,Yes,-74.03950151,40.87977815
1,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",30.4,pg/g,0.701,Y,Yes,-74.03950151,40.87977815
2,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",465.0,pg/g,0.485,Y,Yes,-74.03950151,40.87977815
3,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,3268-87-9,Octachlorodibenzo-p-dioxin,8850.0,pg/g,0.912,Y,Yes,-74.03950151,40.87977815
4,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",432.0,pg/g,0.701,Y,Yes,-74.03950151,40.87977815
5,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",998.0,pg/g,2.1,Y,Yes,-74.03950151,40.87977815
6,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",104.0,pg/g,0.485,Y,Yes,-74.03950151,40.87977815
7,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",2560.0,pg/g,2.1,Y,Yes,-74.03950151,40.87977815
8,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",1010.0,pg/g,0.916,Y,Yes,-74.03950151,40.87977815
9,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,39001-02-0,Octachlorodibenzofuran,675.0,pg/g,0.78,Y,Yes,-74.03950151,40.87977815
