,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,R10,2/21/1990,1990 Surficial Sediment Investigation,CYANIDE,57-12-5,Cyanide,,ppm,,N,Yes,-74.16106893,40.94115013
1,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,ppt,,N,Yes,-74.16106893,40.94115013
2,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,ppt,,N,Yes,-74.16106893,40.94115013
3,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",3.4,ppt,,Y,Yes,-74.16106893,40.94115013
4,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,3268-87-9,Octachlorodibenzo-p-dioxin,420.0,ppt,,Y,Yes,-74.16106893,40.94115013
5,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,ppt,,N,Yes,-74.16106893,40.94115013
6,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",47.0,ppt,,Y,Yes,-74.16106893,40.94115013
7,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",380.0,ppt,,Y,Yes,-74.16106893,40.94115013
8,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",89.0,ppt,,Y,Yes,-74.16106893,40.94115013
9,R10,2/21/1990,1990 Surficial Sediment Investigation,DIOXINS/FURANS,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",30.0,ppt,,Y,Yes,-74.16106893,40.94115013
