,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1.2,ug/kg,,Y,Yes,-74.127241,40.743027
1,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",0.019,ug/kg,,Y,Yes,-74.127241,40.743027
2,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",1.0,ug/kg,,Y,Yes,-74.127241,40.743027
3,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,8.3,ug/kg,,Y,Yes,-74.127241,40.743027
4,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.22,ug/kg,,Y,Yes,-74.127241,40.743027
5,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",0.74,ug/kg,,Y,Yes,-74.127241,40.743027
6,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",0.0098,ug/kg,,Y,Yes,-74.127241,40.743027
7,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",1.6,ug/kg,,Y,Yes,-74.127241,40.743027
8,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",1.5,ug/kg,,Y,Yes,-74.127241,40.743027
9,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,39001-02-0,Octachlorodibenzofuran,1.6,ug/kg,,Y,Yes,-74.127241,40.743027
10,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",0.0089,ug/kg,,Y,Yes,-74.127241,40.743027
11,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",0.0098,ug/kg,,Y,Yes,-74.127241,40.743027
12,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",1.3,ug/kg,,Y,Yes,-74.127241,40.743027
13,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",0.048,ug/kg,,Y,Yes,-74.127241,40.743027
14,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",0.033,ug/kg,,Y,Yes,-74.127241,40.743027
15,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",0.85,ug/kg,,Y,Yes,-74.127241,40.743027
16,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",1.5,ug/kg,,Y,Yes,-74.127241,40.743027
17,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",0.063,ug/kg,,Y,Yes,-74.127241,40.743027
18,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",0.028,ug/kg,,Y,Yes,-74.127241,40.743027
19,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,57117-44-9,"1,2,3,6,7,8-Hexachlorodibenzofuran",0.065,ug/kg,,Y,Yes,-74.127241,40.743027
20,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",0.044,ug/kg,,Y,Yes,-74.127241,40.743027
21,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,60851-34-5,"2,3,4,6,7,8-Hexachlorodibenzofuran",0.053,ug/kg,,Y,Yes,-74.127241,40.743027
22,Grab-1,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",1.1,ug/kg,,Y,Yes,-74.127241,40.743027
