,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",0.83,ug/kg,,Y,Yes,-74.16625126,40.74459918
1,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,7.4,ug/kg,,Y,Yes,-74.16625126,40.74459918
2,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.28,ug/kg,,Y,Yes,-74.16625126,40.74459918
3,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",0.032,ug/kg,,Y,Yes,-74.16625126,40.74459918
4,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",1.4,ug/kg,,Y,Yes,-74.16625126,40.74459918
5,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",1.6,ug/kg,,Y,Yes,-74.16625126,40.74459918
6,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,39001-02-0,Octachlorodibenzofuran,1.4,ug/kg,,Y,Yes,-74.16625126,40.74459918
7,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",0.46,ug/kg,,Y,Yes,-74.16625126,40.74459918
8,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",0.96,ug/kg,,Y,Yes,-74.16625126,40.74459918
9,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",1.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
10,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,BBL-TPCDDS,Total PCDDs,9.57,ug/kg,,Y,Yes,-74.16625126,40.74459918
11,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,DDX/DDF,BBL-TPCDFS,Total PCDFs,5.79,ug/kg,,Y,Yes,-74.16625126,40.74459918
12,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7429-90-5,Aluminum,14000000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
13,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7439-89-6,Iron,27000000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
14,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7439-92-1,Lead,290000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
15,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7439-95-4,Magnesium,6200000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
16,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7439-96-5,Manganese,410000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
17,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7439-97-6,Mercury,3400.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
18,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7440-02-0,Nickel,40000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
19,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7440-09-7,Potassium,2200000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
20,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7440-22-4,Silver,4800.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
21,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7440-23-5,Sodium,3100000.0,ug/kg,,Y,Yes,-74.16625126,40.74459918
22,WTH-10,1/23/1995,1995 USACE Minish Park Investigation,MET,7440-28-0,Thallium,550.0,ug/kg,550.0,N,Yes,-74.16625126,40.74459918
