,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,601-41-42,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,73,ppm,,Y,Yes,-74.135002,40.741391
1,601-41-42,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,114,ppm,,Y,Yes,-74.135002,40.741391
2,601-43-44,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,47,ppm,,Y,Yes,-74.135315,40.741532
3,601-43-44,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,50,ppm,,Y,Yes,-74.135315,40.741532
4,601-45,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,113,ppm,,Y,Yes,-74.135565,40.741336
5,602-41-42,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,68,ppm,,Y,Yes,-74.135065,40.741636
6,602-41-42,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,124,ppm,,Y,Yes,-74.135065,40.741636
7,602-43-44,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,66,ppm,,Y,Yes,-74.135371,40.74175
8,602-43-44,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,136,ppm,,Y,Yes,-74.135371,40.74175
9,602-45-46,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,98,ppm,,Y,Yes,-74.135585,40.741589
10,602-45-46,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,310,ppm,,Y,Yes,-74.135585,40.741589
11,603-41-42,7/12/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,45,ppm,,Y,Yes,-74.135145,40.741946
