,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11096-82-5,Aroclor 1260,300.0,ug/kg,,Y,Yes,-74.1201540623,40.7278723194
1,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11097-69-1,Aroclor 1254,800.0,ug/kg,800.0,N,Yes,-74.1201540623,40.7278723194
2,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11104-28-2,Aroclor 1221,100.0,ug/kg,100.0,N,Yes,-74.1201540623,40.7278723194
3,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11141-16-5,Aroclor 1232,100.0,ug/kg,100.0,N,Yes,-74.1201540623,40.7278723194
4,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,12672-29-6,Aroclor 1248,100.0,ug/kg,100.0,N,Yes,-74.1201540623,40.7278723194
5,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,12674-11-2,Aroclor 1016,100.0,ug/kg,100.0,N,Yes,-74.1201540623,40.7278723194
6,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,53469-21-9,Aroclor 1242,500.0,ug/kg,,Y,Yes,-74.1201540623,40.7278723194
7,Location 1,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,TOT-PCB-ARO,"PCB, Total Aroclors",800.0,ug/kg,,Y,Yes,-74.1201540623,40.7278723194
8,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11096-82-5,Aroclor 1260,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
9,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11097-69-1,Aroclor 1254,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
10,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11104-28-2,Aroclor 1221,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
11,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11141-16-5,Aroclor 1232,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
12,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,12672-29-6,Aroclor 1248,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
13,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,12674-11-2,Aroclor 1016,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
14,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,53469-21-9,Aroclor 1242,100.0,ug/kg,100.0,N,Yes,-74.1658116613,40.7498068685
15,Location 2,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,TOT-PCB-ARO,"PCB, Total Aroclors",,,,N,Yes,-74.1658116613,40.7498068685
16,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11096-82-5,Aroclor 1260,100.0,ug/kg,100.0,N,Yes,-74.1481399282,40.7336555006
17,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11097-69-1,Aroclor 1254,200.0,ug/kg,200.0,N,Yes,-74.1481399282,40.7336555006
18,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11104-28-2,Aroclor 1221,100.0,ug/kg,100.0,N,Yes,-74.1481399282,40.7336555006
19,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,11141-16-5,Aroclor 1232,100.0,ug/kg,100.0,N,Yes,-74.1481399282,40.7336555006
20,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,12672-29-6,Aroclor 1248,100.0,ug/kg,100.0,N,Yes,-74.1481399282,40.7336555006
21,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,12674-11-2,Aroclor 1016,100.0,ug/kg,100.0,N,Yes,-74.1481399282,40.7336555006
22,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,53469-21-9,Aroclor 1242,100.0,ug/kg,,Y,Yes,-74.1481399282,40.7336555006
23,Location 3,1997-09-18 12:00:00,1997 Outfall Sampling Program,PCB/PEST,TOT-PCB-ARO,"PCB, Total Aroclors",100.0,ug/kg,,Y,Yes,-74.1481399282,40.7336555006
24,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",0.00041,ug/kg,0.00041,N,Yes,-76.2273356933,38.8205616419
25,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",0.0015,ug/kg,,Y,Yes,-76.2273356933,38.8205616419
26,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",0.02856,ug/kg,,Y,Yes,-76.2273356933,38.8205616419
27,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,0.36403,ug/kg,,Y,Yes,-76.2273356933,38.8205616419
28,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.00475,ug/kg,,Y,Yes,-76.2273356933,38.8205616419
29,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",0.04391,ug/kg,,Y,Yes,-76.2273356933,38.8205616419
30,PEDDIE DIT-SED,1997-10-09 12:00:00,1997 Outfall Sampling Program,DDX/DDF,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,,,N,Yes,-76.2273356933,38.8205616419
