,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,7439-92-1,Lead,14800.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
1,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,7439-97-6,Mercury,14.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
2,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,7440-02-0,Nickel,7400.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
3,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,7440-43-9,Cadmium,240.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
4,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,7440-50-8,Copper,83600.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
5,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,7440-66-6,Zinc,70700.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
6,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,AVS/SEM,AVS,Acid Volatile Sulfides,0.37,UMOLES/G,0.37,N,Yes,-74.1989838036,40.6346144024
7,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",0.0007,ug/kg,0.0007,N,Yes,-74.1989838036,40.6346144024
8,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",0.00075,ug/kg,0.00075,N,Yes,-74.1989838036,40.6346144024
9,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",0.0008,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
10,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,0.077,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
11,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.005,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
12,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",0.0067,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
13,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",0.00069,ug/kg,0.00069,N,Yes,-74.1989838036,40.6346144024
14,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",0.018,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
15,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",0.0023,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
16,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,39001-02-0,Octachlorodibenzofuran,0.0037,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
17,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",0.00081,ug/kg,0.00081,N,Yes,-74.1989838036,40.6346144024
18,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",0.00069,ug/kg,0.00069,N,Yes,-74.1989838036,40.6346144024
19,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",0.0007,ug/kg,0.0007,N,Yes,-74.1989838036,40.6346144024
20,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",0.00036,ug/kg,0.00036,N,Yes,-74.1989838036,40.6346144024
21,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",0.0003,ug/kg,0.0003,N,Yes,-74.1989838036,40.6346144024
22,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",0.0011,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
23,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",0.001,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
24,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",0.0006,ug/kg,0.0006,N,Yes,-74.1989838036,40.6346144024
25,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",0.00072,ug/kg,0.00072,N,Yes,-74.1989838036,40.6346144024
26,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,57117-44-9,"1,2,3,6,7,8-Hexachlorodibenzofuran",0.00061,ug/kg,0.00061,N,Yes,-74.1989838036,40.6346144024
27,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",0.00088,ug/kg,0.00088,N,Yes,-74.1989838036,40.6346144024
28,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,60851-34-5,"2,3,4,6,7,8-Hexachlorodibenzofuran",0.0005,ug/kg,0.0005,N,Yes,-74.1989838036,40.6346144024
29,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",0.0023,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
30,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,70648-26-9,"1,2,3,4,7,8-Hexachlorodibenzofuran",0.00053,ug/kg,0.00053,N,Yes,-74.1989838036,40.6346144024
31,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,72918-21-9,"1,2,3,7,8,9-Hexachlorodibenzofuran",0.00055,ug/kg,0.00055,N,Yes,-74.1989838036,40.6346144024
32,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,BBL-2378CONG,"Total 2,3,7,8-Congeners",0.0897,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
33,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,BBL-TPCDDS,Total PCDDs,0.1,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
34,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,DDX/DDF,BBL-TPCDFS,Total PCDFs,0.0089,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
35,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,E335.2,57-12-5,Cyanide,220.0,ug/kg,220.0,N,Yes,-74.1989838036,40.6346144024
36,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,25429-29-2,Total Pentachlorobiphenyls,12.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
37,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,26601-64-9,Total Hexachlorobiphenyls,1.9,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
38,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,28655-71-2,Total Heptachlorobiphenyls,0.87,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
39,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,55722-26-4,Total Octachlorobiphenyls,0.11,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
40,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,DCBPH,Total Dichlorodiphenyls,1.9,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
41,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,MONOCB,Total Monochlorobiphenyls,,,,N,Yes,-74.1989838036,40.6346144024
42,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,NCBPH,Total Nonachlorobiphenyls,,,,N,Yes,-74.1989838036,40.6346144024
43,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,TECBPH,Total Tetrachlorobiphenyls,42.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
44,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,TPCB-HOMOLOGUE,Total PCBs - Homologue Groups,81.8,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
45,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,HOMOLOGUE,TRICBPH,Total Trichlorobiphenyls,23.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
46,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7429-90-5,Aluminum,21000000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
47,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7439-89-6,Iron,27000000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
48,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7439-92-1,Lead,14600.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
49,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7439-95-4,Magnesium,9340000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
50,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7439-96-5,Manganese,246000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
51,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7439-97-6,Mercury,16.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
52,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-02-0,Nickel,35500.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
53,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-09-7,Potassium,5560000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
54,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-22-4,Silver,970.0,ug/kg,970.0,N,Yes,-74.1989838036,40.6346144024
55,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-23-5,Sodium,2760000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
56,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-28-0,Thallium,850.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
57,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-36-0,Antimony,520.0,ug/kg,520.0,N,Yes,-74.1989838036,40.6346144024
58,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-38-2,Arsenic,6200.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
59,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-39-3,Barium,168000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
60,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-41-7,Beryllium,1100.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
61,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-43-9,Cadmium,200.0,ug/kg,200.0,N,Yes,-74.1989838036,40.6346144024
62,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-47-3,Chromium,37100.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
63,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-48-4,Cobalt,15000.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
64,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-50-8,Copper,32200.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
65,PRP-99-01,1999-07-30 12:00:00,1999 Sediment Sampling Program,MET,7440-62-2,Vanadium,35200.0,ug/kg,,Y,Yes,-74.1989838036,40.6346144024
