,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7429-90-5,Aluminum,105.0,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
1,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7439-89-6,Iron,179.0,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
2,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7439-92-1,Lead,0.877,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
3,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7439-95-4,Magnesium,108.0,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
4,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7439-96-5,Manganese,5.59,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
5,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7439-97-6,Mercury,5.4e-05,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
6,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-02-0,Nickel,0.49,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
7,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-09-7,Potassium,18.7,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
8,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-22-4,Silver,0.003,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
9,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-23-5,Sodium,260.0,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
10,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-28-0,Thallium,0.0075,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
11,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-36-0,Antimony,0.0052,UMOLES/G,0.0052,N,Yes,-74.1639707704,40.7387922995
12,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-38-2,Arsenic,0.0149,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
13,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-39-3,Barium,0.959,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
14,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-41-7,Beryllium,0.04,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
15,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-43-9,Cadmium,0.026,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
16,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-47-3,Chromium,1.01,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
17,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-48-4,Cobalt,0.476,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
18,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-50-8,Copper,1.37,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
19,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-62-2,Vanadium,0.257,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
20,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-66-6,Zinc,5.93,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
21,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7440-70-2,Calcium,98.2,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
22,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,7782-49-2,Selenium,0.0068,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
23,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,AVS/SEM,AVS,Acid Volatile Sulfides,16.3,UMOLES/G,,Y,Yes,-74.1639707704,40.7387922995
24,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,120-12-7,Anthracene,1430.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
25,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,129-00-0,Pyrene,7590.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
26,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,132-65-0,Dibenzothiophene (Synfuel),257.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
27,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,191-24-2,"Benzo(g,h,i)perylene",3540.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
28,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,192-97-2,Benzo[e]pyrene,3390.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
29,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,193-39-5,"Indeno(1,2,3-c,d)pyrene",4830.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
30,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,198-55-0,Perylene,1190.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
31,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,205-99-2,Benzo(b)fluoranthene,6570.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
32,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,206-44-0,Fluoranthene,8140.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
33,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,207-08-9,Benzo(k)fluoranthene,2550.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
34,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,208-96-8,Acenaphthylene,468.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
35,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,218-01-9,Chrysene,4750.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
36,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,2245-38-7,"1,6,7-Trimethylnapthalene",54.9,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
37,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,50-32-8,Benzo(a)pyrene,4900.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
38,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,53-70-3,"Dibenz(a,h)anthracene",1060.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
39,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,56-55-3,Benzo(a)anthracene,5890.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
40,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,581-42-0,"2,6-Dimethylnapthalene",244.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
41,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,83-32-9,Acenaphthene,326.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
42,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,832-69-9,1-Methylphenanthrene,578.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
43,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,85-01-8,Phenanthrene,3180.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
44,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,86-73-7,Fluorene,405.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
45,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,90-12-0,1-Methylnaphthalene,225.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
46,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,91-20-3,Naphthalene,704.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
47,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,91-57-6,2-Methylnaphthalene,463.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
48,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,92-52-4,"1,1'-Biphenyl",118.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
49,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,BBL-TPAH,Total PAHs,56800.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
50,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,HPAH,"Polycyclic Aromatic Hydrocarbons, Total High Molecular Weight",49800.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
51,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,BNASIM,LPAH,"Polycyclic Aromatic Hydrocarbons, Total Low Molecular Weight",6980.0,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
52,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",0.314,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
53,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",0.0197,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
54,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",0.645,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
55,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,5.3,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
56,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.277,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
57,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",0.469,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
58,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",0.0696,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
59,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",1.01,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
60,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",1.2,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
61,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,39001-02-0,Octachlorodibenzofuran,1.36,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
62,PR-99-BBD-SD-1,1999-12-02 12:00:00,1999-2000 Minish Park Monitoring Program,DDX/DDF,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",0.00848,ug/kg,,Y,Yes,-74.1639707704,40.7387922995
