,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,132-65-0,Dibenzothiophene (Synfuel),11.9,ug/kg,,Y,Yes,-74.540511,39.577054
1,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,191-24-2,"Benzo(g,h,i)perylene",95.7,ug/kg,,Y,Yes,-74.540511,39.577054
2,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,192-97-2,Benzo[e]pyrene,94.1,ug/kg,,Y,Yes,-74.540511,39.577054
3,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,193-39-5,"Indeno(1,2,3-c,d)pyrene",104.0,ug/kg,,Y,Yes,-74.540511,39.577054
4,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,198-55-0,Perylene,346.0,ug/kg,,Y,Yes,-74.540511,39.577054
5,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,205-99-2,Benzo(b)fluoranthene,181.0,ug/kg,,Y,Yes,-74.540511,39.577054
6,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,206-44-0,Fluoranthene,324.0,ug/kg,,Y,Yes,-74.540511,39.577054
7,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,207-08-9,Benzo(k)fluoranthene,69.7,ug/kg,,Y,Yes,-74.540511,39.577054
8,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,208-96-8,Acenaphthylene,25.5,ug/kg,,Y,Yes,-74.540511,39.577054
9,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,218-01-9,Chrysene,154.0,ug/kg,,Y,Yes,-74.540511,39.577054
10,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,2245-38-7,"1,6,7-Trimethylnapthalene",5.6,ug/kg,,Y,Yes,-74.540511,39.577054
11,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,50-32-8,Benzo(a)pyrene,119.0,ug/kg,,Y,Yes,-74.540511,39.577054
12,MR0021SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,BNASIM,53-70-3,"Dibenz(a,h)anthracene",47.0,ug/kg,,Y,Yes,-74.540511,39.577054
13,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,91-57-6,2-Methylnaphthalene,1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
14,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,91-58-7,2-Chloronaphthalene,1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
15,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,91-94-1,"3,3'-Dichlorobenzidine",2300.0,ug/kg,2300.0,N,Yes,-74.480896,39.55279
16,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,95-48-7,2-Methylphenol (o-Cresol),1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
17,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,95-50-1,"1,2-Dichlorobenzene",1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
18,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,95-57-8,2-Chlorophenol,1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
19,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,95-95-4,"2,4,5-Trichlorophenol",1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
20,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,98-95-3,Nitrobenzene,1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
21,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,99-09-2,3-Nitroaniline,1100.0,ug/kg,1100.0,N,Yes,-74.480896,39.55279
22,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,BBL-TPAH,Total PAHs,,,,N,Yes,-74.480896,39.55279
23,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,HPAH,"Polycyclic Aromatic Hydrocarbons, Total High Molecular Weight",,,,N,Yes,-74.480896,39.55279
24,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,SVOC,LPAH,"Polycyclic Aromatic Hydrocarbons, Total Low Molecular Weight",,,,N,Yes,-74.480896,39.55279
25,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,TOC,TOC,Total Organic Carbon,29000000.0,ug/kg,,Y,Yes,-74.480896,39.55279
26,MR0022SDM,2000-05-25 12:00:00,2000 Spring ESP Sampling Program,TPH,BBL-TPHDROCA,TPH - DRO CA LUFT,36000.0,ug/kg,36000.0,N,Yes,-74.480896,39.55279
27,MR0022TIMWL,2000-05-17 12:00:00,2000 Spring ESP Sampling Program,BNASIM,120-12-7,Anthracene,10.0,ug/kg,10.0,N,Yes,-74.48216,39.552515
28,MR0022TIMWL,2000-05-17 12:00:00,2000 Spring ESP Sampling Program,BNASIM,129-00-0,Pyrene,15.0,ug/kg,15.0,N,Yes,-74.48216,39.552515
29,MR0022TIMWL,2000-05-17 12:00:00,2000 Spring ESP Sampling Program,BNASIM,132-65-0,Dibenzothiophene (Synfuel),10.0,ug/kg,10.0,N,Yes,-74.48216,39.552515
30,MR0022TIMWL,2000-05-17 12:00:00,2000 Spring ESP Sampling Program,BNASIM,191-24-2,"Benzo(g,h,i)perylene",10.0,ug/kg,10.0,N,Yes,-74.48216,39.552515
