,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,120-12-7,Anthracene,0.8,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
1,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,129-00-0,Pyrene,4.4,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
2,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,132-65-0,Dibenzothiophene (Synfuel),0.5,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
3,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,191-24-2,"Benzo(g,h,i)perylene",10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
4,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,192-97-2,Benzo[e]pyrene,10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
5,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,193-39-5,"Indeno(1,2,3-c,d)pyrene",10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
6,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,198-55-0,Perylene,10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
7,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,205-99-2,Benzo(b)fluoranthene,10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
8,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,206-44-0,Fluoranthene,8.9,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
9,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,207-08-9,Benzo(k)fluoranthene,15.0,ug/kg,15.0,N,Yes,-74.1642047745,40.7566289398
10,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,208-96-8,Acenaphthylene,0.9,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
11,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,218-01-9,Chrysene,1.1,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
12,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,2245-38-7,"1,6,7-Trimethylnapthalene",15.0,ug/kg,15.0,N,Yes,-74.1642047745,40.7566289398
13,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,50-32-8,Benzo(a)pyrene,10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
14,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,53-70-3,"Dibenz(a,h)anthracene",10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
15,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,56-55-3,Benzo(a)anthracene,0.3,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
16,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,581-42-0,"2,6-Dimethylnapthalene",1.1,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
17,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,83-32-9,Acenaphthene,36.1,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
18,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,832-69-9,1-Methylphenanthrene,10.0,ug/kg,10.0,N,Yes,-74.1642047745,40.7566289398
19,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,85-01-8,Phenanthrene,4.1,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
20,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,86-73-7,Fluorene,2.9,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
21,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,90-12-0,1-Methylnaphthalene,4.8,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
22,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,91-20-3,Naphthalene,7.4,ug/kg,7.4,N,Yes,-74.1642047745,40.7566289398
23,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,91-57-6,2-Methylnaphthalene,4.0,ug/kg,4.0,N,Yes,-74.1642047745,40.7566289398
24,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,92-52-4,"1,1'-Biphenyl",1.3,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
25,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,BNASIM,BBL-TPAH,Total PAHs,59.5,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
26,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,DDX/DDF,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",0.0322,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
27,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,DDX/DDF,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",0.000341,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
28,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",0.0193,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
29,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,0.00202,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
30,PR01TIAE-1,2001-08-09 12:00:00,2001 Supplemental ESP Biota Sampling,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.00678,ug/kg,,Y,Yes,-74.1642047745,40.7566289398
