,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),1024-57-3,Heptachlor epoxide,4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
1,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),1031-07-8,Endosulfan sulfate,9.4,ug/kg,9.4,N,Yes,-74.13141389,40.74214264
2,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),11096-82-5,Aroclor 1260,94.0,ug/kg,94.0,N,Yes,-74.13141389,40.74214264
3,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),11097-69-1,Aroclor 1254,230.0,ug/kg,,Y,Yes,-74.13141389,40.74214264
4,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),11104-28-2,Aroclor 1221,190.0,ug/kg,190.0,N,Yes,-74.13141389,40.74214264
5,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),11141-16-5,Aroclor 1232,94.0,ug/kg,94.0,N,Yes,-74.13141389,40.74214264
6,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),12672-29-6,Aroclor 1248,94.0,ug/kg,94.0,N,Yes,-74.13141389,40.74214264
7,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),12674-11-2,Aroclor 1016,94.0,ug/kg,94.0,N,Yes,-74.13141389,40.74214264
8,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),309-00-2,Aldrin,4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
9,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),319-84-6,alpha-Hexachlorocyclohexane (alpha BHC) ,4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
10,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),319-85-7,beta-Hexachlorocyclohexane (beta BHC),4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
11,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),319-86-8,delta-Hexachlorocyclohexane (delta BHC),4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
12,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),33213-65-9,beta-Endosulfan,9.4,ug/kg,9.4,N,Yes,-74.13141389,40.74214264
13,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),50-29-3,"p,p'-DDT",17.0,ug/kg,,Y,Yes,-74.13141389,40.74214264
14,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),5103-71-9,alpha-Chlordane,18.0,ug/kg,,Y,Yes,-74.13141389,40.74214264
15,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),5103-74-2,beta-Chlordane,15.0,ug/kg,,Y,Yes,-74.13141389,40.74214264
16,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),53469-21-9,Aroclor 1242,94.0,ug/kg,94.0,N,Yes,-74.13141389,40.74214264
17,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),53494-70-5,Endrin ketone,9.4,ug/kg,9.4,N,Yes,-74.13141389,40.74214264
18,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),58-89-9,gamma-BHC (Lindane),4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
19,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),60-57-1,Dieldrin,9.4,ug/kg,9.4,N,Yes,-74.13141389,40.74214264
20,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),72-20-8,Endrin,9.4,ug/kg,9.4,N,Yes,-74.13141389,40.74214264
21,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),72-43-5,Methoxychlor,49.0,ug/kg,49.0,N,Yes,-74.13141389,40.74214264
22,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),72-54-8,"p,p'-DDD",20.0,ug/kg,,Y,Yes,-74.13141389,40.74214264
23,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),72-55-9,"p,p'-DDE",23.0,ug/kg,,Y,Yes,-74.13141389,40.74214264
24,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),7421-93-4,Endrin aldehyde,9.4,ug/kg,9.4,N,Yes,-74.13141389,40.74214264
25,LPRP-00500,2004-07-12 16:36:00,2004 EarthTech SED Coring Pilot Project,MC PEST(S),76-44-8,Heptachlor,4.9,ug/kg,4.9,N,Yes,-74.13141389,40.74214264
