,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,OBS,OBS,0.253,volts,,Y,Yes,-74.128916258796,40.684658832762
1,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,SAL,Salinity,12.3,PSU,,Y,Yes,-74.128916258796,40.684658832762
2,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TEMP,Temperature,5.92,deg c,,Y,Yes,-74.128916258796,40.684658832762
3,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TURB,Turbidity,25.28,ntu,,Y,Yes,-74.128916258796,40.684658832762
4,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,OBS,OBS,0.273,volts,,Y,Yes,-74.128916258796,40.684658832762
5,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,SAL,Salinity,12.54,PSU,,Y,Yes,-74.128916258796,40.684658832762
6,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TEMP,Temperature,5.91,deg c,,Y,Yes,-74.128916258796,40.684658832762
7,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TURB,Turbidity,27.31,ntu,,Y,Yes,-74.128916258796,40.684658832762
8,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,OBS,OBS,0.249,volts,,Y,Yes,-74.128916258796,40.684658832762
9,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,SAL,Salinity,12.8,PSU,,Y,Yes,-74.128916258796,40.684658832762
10,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TEMP,Temperature,5.91,deg c,,Y,Yes,-74.128916258796,40.684658832762
11,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TURB,Turbidity,24.89,ntu,,Y,Yes,-74.128916258796,40.684658832762
12,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,OBS,OBS,0.237,volts,,Y,Yes,-74.128916258796,40.684658832762
13,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,SAL,Salinity,12.97,PSU,,Y,Yes,-74.128916258796,40.684658832762
14,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TEMP,Temperature,5.89,deg c,,Y,Yes,-74.128916258796,40.684658832762
15,1.01,2010-03-16 10:34:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,TURB,Turbidity,23.7,ntu,,Y,Yes,-74.128916258796,40.684658832762
16,1.03,2010-03-16 10:53:00,2010 CPG LPR-NB PWCM Field Measurements,FIELD MEASURE,SAL,Salinity,14.57,PSU,,Y,Yes,-74.11956551484,40.69869119361
