,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,A2540G,SOLID,"Solids, Percent",63.6,percent,0.1,Y,Yes,-74.1303373414,40.8852039199
1,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,A2540G,SOLID,"Solids, Percent",59.1,percent,0.1,Y,Yes,-74.1303373414,40.8852039199
2,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,A2540G,SOLID,"Solids, Percent",59.1,percent,0.1,Y,Yes,-74.1303373414,40.8852039199
3,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,120-12-7,Anthracene,1560.0,ng/g,120.0,Y,Yes,-74.1303373414,40.8852039199
4,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,129-00-0,Pyrene,7140.0,ng/g,190.0,Y,Yes,-74.1303373414,40.8852039199
5,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,132-65-0,Dibenzothiophene (Synfuel),201.0,ng/g,1.4,Y,Yes,-74.1303373414,40.8852039199
6,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,191-24-2,"Benzo(g,h,i)perylene",3240.0,ng/g,240.0,Y,Yes,-74.1303373414,40.8852039199
7,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,192-97-2,Benzo[e]pyrene,6390.0,ng/g,110.0,Y,Yes,-74.1303373414,40.8852039199
8,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,193-39-5,"Indeno(1,2,3-c,d)pyrene",2800.0,ng/g,250.0,Y,Yes,-74.1303373414,40.8852039199
9,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,198-55-0,Perylene,1140.0,ng/g,61.0,Y,Yes,-74.1303373414,40.8852039199
10,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,206-44-0,Fluoranthene,6880.0,ng/g,190.0,Y,Yes,-74.1303373414,40.8852039199
11,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,207-08-9,Benzo(k)fluoranthene,2600.0,ng/g,110.0,Y,Yes,-74.1303373414,40.8852039199
12,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,208-96-8,Acenaphthylene,1160.0,ng/g,54.0,Y,Yes,-74.1303373414,40.8852039199
13,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,218-01-9,Chrysene,5270.0,ng/g,170.0,Y,Yes,-74.1303373414,40.8852039199
14,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,2245-38-7,"1,6,7-Trimethylnapthalene",218.0,ng/g,10.0,Y,Yes,-74.1303373414,40.8852039199
15,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,50-32-8,Benzo(a)pyrene,6200.0,ng/g,120.0,Y,Yes,-74.1303373414,40.8852039199
16,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,53-70-3,"Dibenz(a,h)anthracene",1100.0,ng/g,240.0,Y,Yes,-74.1303373414,40.8852039199
17,,2012-11-26 09:53:00,2012 CPG Benthic Sediment Above Dundee Dam,CARB429 MOD,56-55-3,Benzo(a)anthracene,4430.0,ng/g,180.0,Y,Yes,-74.1303373414,40.8852039199
