,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,Newark Bay Diamond Alkali,2012-10-18 10:57:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,LIQLIM,Liquid Limit,62.0,%,,Y,Yes,-74.120671,40.7179407
1,Newark Bay Diamond Alkali,2012-10-18 10:57:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASIND,Plasticity Index,37.0,%,,Y,Yes,-74.120671,40.7179407
2,Newark Bay Diamond Alkali,2012-10-18 10:57:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASLIM,Plastic Limit,25.0,%,,Y,Yes,-74.120671,40.7179407
3,Newark Bay Diamond Alkali,2012-10-19 12:20:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,LIQLIM,Liquid Limit,99.0,%,,Y,Yes,-74.1345762,40.665691
4,Newark Bay Diamond Alkali,2012-10-19 12:20:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASIND,Plasticity Index,64.0,%,,Y,Yes,-74.1345762,40.665691
5,Newark Bay Diamond Alkali,2012-10-19 12:20:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASLIM,Plastic Limit,35.0,%,,Y,Yes,-74.1345762,40.665691
6,Newark Bay Diamond Alkali,2012-10-19 12:04:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,LIQLIM,Liquid Limit,89.0,%,,Y,Yes,-74.1345762,40.665691
7,Newark Bay Diamond Alkali,2012-10-19 12:04:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASIND,Plasticity Index,58.0,%,,Y,Yes,-74.1345762,40.665691
8,Newark Bay Diamond Alkali,2012-10-19 12:04:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASLIM,Plastic Limit,31.0,%,,Y,Yes,-74.1345762,40.665691
9,Newark Bay Diamond Alkali,2012-10-19 12:20:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,LIQLIM,Liquid Limit,84.0,%,,Y,Yes,-74.1345762,40.665691
10,Newark Bay Diamond Alkali,2012-10-19 12:20:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASIND,Plasticity Index,51.0,%,,Y,Yes,-74.1345762,40.665691
11,Newark Bay Diamond Alkali,2012-10-19 12:20:00,2012 LBG Newark Bay SedFlume Atterberg,D4318,PLASLIM,Plastic Limit,33.0,%,,Y,Yes,-74.1345762,40.665691
