,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",0.64,ng/kg,0.64,N,Yes,-73.880833,40.570817
1,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
2,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
3,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,3268-87-9,Octachlorodibenzo-p-dioxin,16.0,ng/kg,6.4,Y,Yes,-73.880833,40.570817
4,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
5,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
6,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
7,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
8,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
9,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,39001-02-0,Octachlorodibenzofuran,6.4,ng/kg,6.4,N,Yes,-73.880833,40.570817
