,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,E1631,7439-97-6,Mercury,1810.0,ng/g,31.1,Y,Yes,-74.1329218558,40.8188719823
1,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,13029-08-8,"Dichlorobiphenyl; 2,2'- (PCB 4)",2300.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
2,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,15968-05-5,"Tetrachlorobiphenyl; 2,2',6,6'- (PCB 54)",430.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
3,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,16605-91-7,"Dichlorobiphenyl; 2,3- (PCB 5)",68.0,pg/g,68.0,N,Yes,-74.1329218558,40.8188719823
4,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,16606-02-3,"Trichlorobiphenyl; 2,4',5- (PCB 31)",17000.0,pg/g,570.0,Y,Yes,-74.1329218558,40.8188719823
5,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2050-67-1,"Dichlorobiphenyl; 3,3'- (PCB 11)",4900.0,pg/g,69.0,Y,Yes,-74.1329218558,40.8188719823
6,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2050-68-2,"Dichlorobiphenyl; 4,4'- (PCB 15)",9500.0,pg/g,570.0,Y,Yes,-74.1329218558,40.8188719823
7,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2051-24-3,Decachlorobiphenyl (PCB 209),4200.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
8,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2051-60-7,Chlorobiphenyl; 2- (PCB 1),950.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
9,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2051-61-8,Chlorobiphenyl; 3- (PCB 2),270.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
10,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2051-62-9,Chlorobiphenyl; 4- (PCB 3),750.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
11,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,2136-99-4,"Octachlorobiphenyl; 2,2',3,3',5,5',6,6'- (PCB 202)",1700.0,pg/g,57.0,Y,Yes,-74.1329218558,40.8188719823
12,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,25323-68-6,Total Trichlorobiphenyls,91000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
13,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,25429-29-2,Total Pentachlorobiphenyls,160000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
14,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,25512-42-9,Dichlorobiphenyl,23000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
15,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,25569-80-6,"Dichlorobiphenyl; 2,3'- (PCB 6)",1200.0,pg/g,66.0,Y,Yes,-74.1329218558,40.8188719823
16,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,26601-64-9,Total Hexachlorobiphenyls,130000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
17,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,26914-33-0,Total Tetrachlorobiphenyls,190000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
18,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,27323-18-8,Total Monochlorobiphenyls,2000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
19,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,28655-71-2,Total Heptachlorobiphenyls,77000.0,pg/g,,Y,Yes,-74.1329218558,40.8188719823
20,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,31508-00-6,"Pentachlorobiphenyl; 2,3',4,4',5- (PCB 118)",22000.0,pg/g,510.0,Y,Yes,-74.1329218558,40.8188719823
21,,2015-09-29,2015 ERT RM10.9 Suface Sediment Sampling,EPA METHOD 1668A,32598-10-0,"Tetrachlorobiphenyl; 2,3',4,4'- (PCB 66)",170.0,pg/g,170.0,N,Yes,-74.1329218558,40.8188719823
