,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,16A-0601,2016-08-20 18:05:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,CARB429 MOD,85-01-8,Phenanthrene,18.3,ng,0.242,Y,Yes,-74.1367987,40.8168269
1,16A-0601,2016-08-20 18:05:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,E1668C,35693-99-3,"Tetrachlorobiphenyl; 2,2',5,5'- (PCB 52)",1740.0,pg,3.88,Y,Yes,-74.1367987,40.8168269
2,16A-0601,2016-08-20 18:05:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,SW1613B,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1.84,pg,1.84,N,Yes,-74.1367987,40.8168269
3,16A-0601,2016-08-20 18:09:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,CARB429 MOD,85-01-8,Phenanthrene,9.63,ng,1.18,Y,Yes,-74.1367987,40.8168269
4,16A-0601,2016-08-20 18:09:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,E1668C,35693-99-3,"Tetrachlorobiphenyl; 2,2',5,5'- (PCB 52)",294.0,pg,4.04,Y,Yes,-74.1367987,40.8168269
5,16A-0601,2016-08-20 18:09:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,SW1613B,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",2.46,pg,2.46,N,Yes,-74.1367987,40.8168269
6,16A-0601,2016-08-20 18:12:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,CARB429 MOD,85-01-8,Phenanthrene,5.41,ng,0.131,Y,Yes,-74.1367987,40.8168269
7,16A-0601,2016-08-20 18:12:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,E1668C,35693-99-3,"Tetrachlorobiphenyl; 2,2',5,5'- (PCB 52)",2550.0,pg,8.55,Y,Yes,-74.1367987,40.8168269
8,16A-0601,2016-08-20 18:12:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,SW1613B,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",2.09,pg,2.09,N,Yes,-74.1367987,40.8168269
9,16A-0601,2016-08-20 18:01:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,CARB429 MOD,85-01-8,Phenanthrene,2270.0,ng/g,6.71,Y,Yes,-74.1367987,40.8168269
10,16A-0601,2016-08-20 18:01:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,E1668C,35693-99-3,"Tetrachlorobiphenyl; 2,2',5,5'- (PCB 52)",27100.0,pg/g,13.8,Y,Yes,-74.1367987,40.8168269
11,16A-0601,2016-08-20 18:01:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,LLOYD KAHN METHOD,TOC,Total Organic Carbon,6.96,%,0.05,Y,Yes,-74.1367987,40.8168269
12,16A-0601,2016-08-20 18:01:00,2016 CPG R.Mile 10.9 RA SPME Cap Monitor,SW1613B,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",196.0,pg/g,0.684,Y,Yes,-74.1367987,40.8168269
