facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,48.3,48.3,pg/g,0.485,Yes,Y,,,B,1.94,0.505,0.485,pg/g,,48.3,48.3,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,30.4,30.4,pg/g,0.701,Yes,Y,,,,9.71,0.903,0.701,pg/g,,30.4,30.4,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,465,465,pg/g,0.485,Yes,Y,,,,,,0.485,pg/g,,465,465,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,3268-87-9,Octachlorodibenzo-p-dioxin,,8850,8850,pg/g,0.912,Yes,Y,,,B,19.4,4.85,0.912,pg/g,,8850,8850,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,432,432,pg/g,0.701,Yes,Y,,,,,,0.701,pg/g,,432,432,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,998,998,pg/g,2.1,Yes,Y,,,B,9.71,0.971,2.1,pg/g,,998,998,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,104,104,pg/g,0.485,Yes,Y,J,J,T,,,0.485,pg/g,,104,104,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",,2560,2560,pg/g,2.1,Yes,Y,,,,,,2.1,pg/g,,2560,2560,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",,1010,1010,pg/g,0.916,Yes,Y,,,,,,0.916,pg/g,,1010,1010,pg/g,CAL,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
NJD980528996,HACK2,Hackensack River,,,CN1955A,Sediment Core,7/23/1985,N,SEDIMENT CORE,0,2,cm,,SE,,,,1981-2014 RPI(Bopp) SED/ SUS Matter,,,,LB,L22410-1,SE,DRY,AXYS,E1613B MLA017,1/20/2015,1C,T,INITIAL,METHOD,,,WG49581,0,1,,,380515,39001-02-0,Octachlorodibenzofuran,,675,675,pg/g,0.78,Yes,Y,,,,19.4,1.36,0.78,pg/g,,675,675,pg/g,TRG,-74.03950151,40.87977815,,,-0.0328083,0,-0.0656166,-74.03950151,40.87977815,,,,Y,Stage 4
