FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,CYANIDE,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659001,57-12-5,Cyanide,,,,ppm,,Yes,N,U,,U,,,,ppm,,,,ppm,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,3.4000000000,3.4,ppt,,Yes,Y,,,,,,,ppt,,,3.4,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,3268-87-9,Octachlorodibenzo-p-dioxin,,420.0000000000,420,ppt,,Yes,Y,,,,,,,ppt,,,420,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,47.0000000000,47,ppt,,Yes,Y,,,,,,,ppt,,,47,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,380.0000000000,380,ppt,,Yes,Y,,,,,,,ppt,,,380,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",,89.0000000000,89,ppt,,Yes,Y,,,,,,,ppt,,,89,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",,30.0000000000,30,ppt,,Yes,Y,,,,,,,ppt,,,30,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
