FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,0.830000,0.83,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.830000,0.83,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,3268-87-9,Octachlorodibenzo-p-dioxin,,7.400000,7.4,ug/kg,,Yes,Y,,,,,,,ug/kg,,7.400000,7.4,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,0.280000,0.28,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.280000,0.28,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,0.032000,0.032,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.032000,0.032,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",,1.400000,1.4,ug/kg,,Yes,Y,,,,,,,ug/kg,,1.400000,1.4,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",,1.600000,1.6,ug/kg,,Yes,Y,,,,,,,ug/kg,,1.600000,1.6,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,39001-02-0,Octachlorodibenzofuran,,1.400000,1.4,ug/kg,,Yes,Y,,,,,,,ug/kg,,1.400000,1.4,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",,0.460000,0.46,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.460000,0.46,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",,0.960000,0.96,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.960000,0.96,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",,1.000000,1,ug/kg,,Yes,Y,,,,,,,ug/kg,,1.000000,1,ug/kg,CAL,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
