FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
4,NJD980528996,601-41-42,601-41-42,272970,60141SS4,60141SS4,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645586,TSS,Total Suspended Solids,,73.0000000000,73,ppm,,Yes,Y,,,,,,,ppm,,,73,ppm,TRG,-74.135002,40.741391,,,,-74.135002,40.741391,,,,,,PR,3.094883,,
4,NJD980528996,601-41-42,601-41-42,272971,60142SS1,60142SS1,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645587,TSS,Total Suspended Solids,,114.0000000000,114,ppm,,Yes,Y,,,,,,,ppm,,,114,ppm,TRG,-74.135002,40.741391,,,,-74.135002,40.741391,,,,,,PR,3.094883,,
4,NJD980528996,601-43-44,601-43-44,272972,60143SS6,60143SS6,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645588,TSS,Total Suspended Solids,,47.0000000000,47,ppm,,Yes,Y,,,,,,,ppm,,,47,ppm,TRG,-74.135315,40.741532,,,,-74.135315,40.741532,,,,,,PR,3.110221,,
4,NJD980528996,601-43-44,601-43-44,272973,60144SS3,60144SS3,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645589,TSS,Total Suspended Solids,,50.0000000000,50,ppm,,Yes,Y,,,,,,,ppm,,,50,ppm,TRG,-74.135315,40.741532,,,,-74.135315,40.741532,,,,,,PR,3.110221,,
4,NJD980528996,601-45,601-45,272974,60145SS5,60145SS5,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645590,TSS,Total Suspended Solids,,113.0000000000,113,ppm,,Yes,Y,,,,,,,ppm,,,113,ppm,TRG,-74.135565,40.741336,,,,-74.135565,40.741336,,,,,,PR,3.125575,,
4,NJD980528996,602-41-42,602-41-42,272975,60241SS4,60241SS4,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645591,TSS,Total Suspended Solids,,68.0000000000,68,ppm,,Yes,Y,,,,,,,ppm,,,68,ppm,TRG,-74.135065,40.741636,,,,-74.135065,40.741636,,,,,,PR,3.096433,,
4,NJD980528996,602-41-42,602-41-42,272976,60242SS1,60242SS1,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645592,TSS,Total Suspended Solids,,124.0000000000,124,ppm,,Yes,Y,,,,,,,ppm,,,124,ppm,TRG,-74.135065,40.741636,,,,-74.135065,40.741636,,,,,,PR,3.096433,,
4,NJD980528996,602-43-44,602-43-44,272977,60243SS6,60243SS6,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645593,TSS,Total Suspended Solids,,66.0000000000,66,ppm,,Yes,Y,,,,,,,ppm,,,66,ppm,TRG,-74.135371,40.74175,,,,-74.135371,40.74175,,,,,,PR,3.111357,,
4,NJD980528996,602-43-44,602-43-44,272978,60244SS3,60244SS3,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645594,TSS,Total Suspended Solids,,136.0000000000,136,ppm,,Yes,Y,,,,,,,ppm,,,136,ppm,TRG,-74.135371,40.74175,,,,-74.135371,40.74175,,,,,,PR,3.111357,,
4,NJD980528996,602-45-46,602-45-46,272979,60245SS5,60245SS5,7/12/1995,N,,,ft,WS,1995-96 Passaic Study RI/FS Sed Mobility,,LB,,,,PHYSICAL PROPERTY,7/12/1995,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,645595,TSS,Total Suspended Solids,,98.0000000000,98,ppm,,Yes,Y,,,,,,,ppm,,,98,ppm,TRG,-74.135585,40.741589,,,,-74.135585,40.741589,,,,,,PR,3.12408,,
