,FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
0,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,7439-92-1,Lead,Y,14800.0,14800.0,ug/kg,,Yes,Y,,,,,,,ug/kg,,14800.0,14800.0,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
1,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,7439-97-6,Mercury,Y,14.0,14.0,ug/kg,,Yes,Y,,,,,,,ug/kg,,14.0,14.0,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
2,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,7440-02-0,Nickel,Y,7400.0,7400.0,ug/kg,,Yes,Y,,,,,,,ug/kg,,7400.0,7400.0,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
3,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,7440-43-9,Cadmium,Y,240.0,240.0,ug/kg,,Yes,Y,,,,,,,ug/kg,,240.0,240.0,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
4,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,7440-50-8,Copper,Y,83600.0,83600.0,ug/kg,,Yes,Y,,,,,,,ug/kg,,83600.0,83600.0,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
5,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,7440-66-6,Zinc,Y,70700.0,70700.0,ug/kg,,Yes,Y,,,,,,,ug/kg,,70700.0,70700.0,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
6,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503259,AVS,Acid Volatile Sulfides,,0.37,0.37,UMOLES/G,0.37,Yes,N,U,,U,,,0.37,UMOLES/G,,,,UMOLES/G,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
7,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503260,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,0.0007,0.0007,ug/kg,0.0007,Yes,N,U,,U,,,0.0007,ug/kg,,,,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
8,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503260,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,0.00075,0.00075,ug/kg,0.00075,Yes,N,U,,U,,,0.00075,ug/kg,,,,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
9,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503260,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,0.0008,0.0008,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.0008,0.0008,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
10,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503260,3268-87-9,Octachlorodibenzo-p-dioxin,,0.077,0.077,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.077,0.077,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
11,4,NJD980528996,PRP-99-01,PRP-99-01,199846,PRP-99-01-SD-1,PRP-99-01-SD-1,1999-07-30 12:00:00,N,0,1,ft,SE,1999 Sediment Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1999-07-30 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503260,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,0.005,0.005,ug/kg,,Yes,Y,,,,,,,ug/kg,,0.005,0.005,ug/kg,TRG,-74.1989838036,40.6346144024,9999998.5,9999999,9999998,-74.1989838036,40.6346144024,Historical-TSI Data,,,,,AK,11.24112,,
