,FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
0,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,120-12-7,Anthracene,Y,0.8,0.8,ug/kg,,Yes,Y,GNJ,,GNJ,,,,ug/kg,,0.8,0.8,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
1,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,129-00-0,Pyrene,Y,4.4,4.4,ug/kg,,Yes,Y,GNJ,,GNJ,,,,ug/kg,,4.4,4.4,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
2,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,132-65-0,Dibenzothiophene (Synfuel),,0.5,0.5,ug/kg,,Yes,Y,GNJ,,GNJ,,,,ug/kg,,0.5,0.5,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
3,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,191-24-2,"Benzo(g,h,i)perylene",Y,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
4,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,192-97-2,Benzo[e]pyrene,,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
5,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,193-39-5,"Indeno(1,2,3-c,d)pyrene",Y,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
6,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,198-55-0,Perylene,,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
7,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,205-99-2,Benzo(b)fluoranthene,Y,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
8,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,206-44-0,Fluoranthene,Y,8.9,8.9,ug/kg,,Yes,Y,G,,G,,,,ug/kg,,8.9,8.9,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
9,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,207-08-9,Benzo(k)fluoranthene,Y,15.0,15.0,ug/kg,15.0,Yes,N,U,,U,,,15.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
