,FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS,CUSTOM_FIELD_1
0,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,1024-57-3,Heptachlor epoxide,Y,4.9,4.9,ug/kg,4.9,Yes,N,UJ,UJ,U,,,4.9,ug/kg,,,4.9,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
1,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,1031-07-8,Endosulfan sulfate,Y,9.4,9.4,ug/kg,9.4,Yes,N,UJ,UJ,U,,,9.4,ug/kg,,,9.4,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
2,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,11096-82-5,Aroclor 1260,Y,94.0,94.0,ug/kg,94.0,Yes,N,UJ,UJ,U,,,94.0,ug/kg,,,94.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
3,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,11097-69-1,Aroclor 1254,Y,230.0,230.0,ug/kg,,Yes,Y,J,J,P,,,,ug/kg,,230.0,230.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
4,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,11104-28-2,Aroclor 1221,Y,190.0,190.0,ug/kg,190.0,Yes,N,UJ,UJ,U,,,190.0,ug/kg,,,190.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
5,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,11141-16-5,Aroclor 1232,Y,94.0,94.0,ug/kg,94.0,Yes,N,UJ,UJ,U,,,94.0,ug/kg,,,94.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
6,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,12672-29-6,Aroclor 1248,Y,94.0,94.0,ug/kg,94.0,Yes,N,UJ,UJ,U,,,94.0,ug/kg,,,94.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
7,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,12674-11-2,Aroclor 1016,Y,94.0,94.0,ug/kg,94.0,Yes,N,UJ,UJ,U,,,94.0,ug/kg,,,94.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
8,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,309-00-2,Aldrin,Y,4.9,4.9,ug/kg,4.9,Yes,N,UJ,UJ,U,,,4.9,ug/kg,,,4.9,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
9,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,319-84-6,alpha-Hexachlorocyclohexane (alpha BHC) ,,4.9,4.9,ug/kg,4.9,Yes,N,UJ,UJ,U,,,4.9,ug/kg,,,4.9,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
