,facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
0,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.08-FRES,10B-E01-C101-24.08-FRES,2010-03-16 10:34:00,N,,24.08,24.08,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54784,OBS,OBS,,0.253,0.253,volts,,Yes,Y,,,,,,,,,0.253,0.253,volts,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.08,-24.08,-24.08,-74.128916258796,40.684658832762,,,,,
1,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.08-FRES,10B-E01-C101-24.08-FRES,2010-03-16 10:34:00,N,,24.08,24.08,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54784,SAL,Salinity,,12.3,12.3,PSU,,Yes,Y,,,,,,,,,12.3,12.3,PSU,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.08,-24.08,-24.08,-74.128916258796,40.684658832762,,,,,
2,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.08-FRES,10B-E01-C101-24.08-FRES,2010-03-16 10:34:00,N,,24.08,24.08,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54784,TEMP,Temperature,,5.92,5.92,deg c,,Yes,Y,,,,,,,,,5.92,5.92,deg c,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.08,-24.08,-24.08,-74.128916258796,40.684658832762,,,,,
3,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.08-FRES,10B-E01-C101-24.08-FRES,2010-03-16 10:34:00,N,,24.08,24.08,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54784,TURB,Turbidity,,25.28,25.28,ntu,,Yes,Y,,,,,,,,,25.28,25.28,ntu,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.08,-24.08,-24.08,-74.128916258796,40.684658832762,,,,N,
4,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.93-FRES,10B-E01-C101-24.93-FRES,2010-03-16 10:34:00,N,,24.93,24.93,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54785,OBS,OBS,,0.273,0.273,volts,,Yes,Y,,,,,,,,,0.273,0.273,volts,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.93,-24.93,-24.93,-74.128916258796,40.684658832762,,,,,
5,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.93-FRES,10B-E01-C101-24.93-FRES,2010-03-16 10:34:00,N,,24.93,24.93,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54785,SAL,Salinity,,12.54,12.54,PSU,,Yes,Y,,,,,,,,,12.54,12.54,PSU,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.93,-24.93,-24.93,-74.128916258796,40.684658832762,,,,,
6,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.93-FRES,10B-E01-C101-24.93-FRES,2010-03-16 10:34:00,N,,24.93,24.93,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54785,TEMP,Temperature,,5.91,5.91,deg c,,Yes,Y,,,,,,,,,5.91,5.91,deg c,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.93,-24.93,-24.93,-74.128916258796,40.684658832762,,,,,
7,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-24.93-FRES,10B-E01-C101-24.93-FRES,2010-03-16 10:34:00,N,,24.93,24.93,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54785,TURB,Turbidity,,27.31,27.31,ntu,,Yes,Y,,,,,,,,,27.31,27.31,ntu,TRG,-74.1289162588,40.6846588328,3.24309,NB,-24.93,-24.93,-24.93,-74.128916258796,40.684658832762,,,,N,
8,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-25.82-FRES,10B-E01-C101-25.82-FRES,2010-03-16 10:34:00,N,,25.82,25.82,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54786,OBS,OBS,,0.249,0.249,volts,,Yes,Y,,,,,,,,,0.249,0.249,volts,TRG,-74.1289162588,40.6846588328,3.24309,NB,-25.82,-25.82,-25.82,-74.128916258796,40.684658832762,,,,,
9,NJD980528996,10B-E01-C101,1.01,,,10B-E01-C101-25.82-FRES,10B-E01-C101-25.82-FRES,2010-03-16 10:34:00,N,,25.82,25.82,ft,,WS,,,,2010 CPG LPR-NB PWCM Field Measurements,10B - 2010 High-Flow Event PWCM Sample Field Measurements,,,FI,,,,,FIELD MEASURE,2010-03-16 10:34:00,,N,INITIAL,,,,,,,,,54786,SAL,Salinity,,12.8,12.8,PSU,,Yes,Y,,,,,,,,,12.8,12.8,PSU,TRG,-74.1289162588,40.6846588328,3.24309,NB,-25.82,-25.82,-25.82,-74.128916258796,40.684658832762,,,,,
