,facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
0,NJD980528996,NBSA-SF1,Newark Bay Diamond Alkali,,,SF1,Atterberg Limits Surface Sediment Grab Sample,2012-10-18 10:57:00,N,,0,41,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF1,SE,DRY,GTPB,D4318,2012-12-11,,T,INITIAL,,,,GTX12408,,1,,,389701,LIQLIM,Liquid Limit,,62.0,62.0,%,,Yes,Y,,,,,,,,,62.0,62.0,%,TRG,-74.120671,40.7179407,,,-0.6725702,0,-1.34514,-74.120671,40.7179407,,,Atterberg Sample grabbed from surface of core,N,TEIR1
1,NJD980528996,NBSA-SF1,Newark Bay Diamond Alkali,,,SF1,Atterberg Limits Surface Sediment Grab Sample,2012-10-18 10:57:00,N,,0,41,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF1,SE,DRY,GTPB,D4318,2012-12-11,,T,INITIAL,,,,GTX12408,,1,,,389701,PLASIND,Plasticity Index,,37.0,37.0,%,,Yes,Y,,,,,,,,,37.0,37.0,%,TRG,-74.120671,40.7179407,,,-0.6725702,0,-1.34514,-74.120671,40.7179407,,,Atterberg Sample grabbed from surface of core,N,TEIR1
2,NJD980528996,NBSA-SF1,Newark Bay Diamond Alkali,,,SF1,Atterberg Limits Surface Sediment Grab Sample,2012-10-18 10:57:00,N,,0,41,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF1,SE,DRY,GTPB,D4318,2012-12-11,,T,INITIAL,,,,GTX12408,,1,,,389701,PLASLIM,Plastic Limit,,25.0,25.0,%,,Yes,Y,,,,,,,,,25.0,25.0,%,TRG,-74.120671,40.7179407,,,-0.6725702,0,-1.34514,-74.120671,40.7179407,,,Atterberg Sample grabbed from surface of core,N,TEIR1
3,NJD980528996,NBSA-SF10,Newark Bay Diamond Alkali,,,SF10,Atterberg Limits Surface Sediment Grab Sample,2012-10-19 12:20:00,N,,0,30,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389702,LIQLIM,Liquid Limit,,99.0,99.0,%,,Yes,Y,,,,,,,,,99.0,99.0,%,TRG,-74.1345762,40.665691,,,-0.4921245,0,-0.984249,-74.1345762,40.665691,,,Atterberg Sample grabbed from surface of core,N,TEIR1
4,NJD980528996,NBSA-SF10,Newark Bay Diamond Alkali,,,SF10,Atterberg Limits Surface Sediment Grab Sample,2012-10-19 12:20:00,N,,0,30,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389702,PLASIND,Plasticity Index,,64.0,64.0,%,,Yes,Y,,,,,,,,,64.0,64.0,%,TRG,-74.1345762,40.665691,,,-0.4921245,0,-0.984249,-74.1345762,40.665691,,,Atterberg Sample grabbed from surface of core,N,TEIR1
5,NJD980528996,NBSA-SF10,Newark Bay Diamond Alkali,,,SF10,Atterberg Limits Surface Sediment Grab Sample,2012-10-19 12:20:00,N,,0,30,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389702,PLASLIM,Plastic Limit,,35.0,35.0,%,,Yes,Y,,,,,,,,,35.0,35.0,%,TRG,-74.1345762,40.665691,,,-0.4921245,0,-0.984249,-74.1345762,40.665691,,,Atterberg Sample grabbed from surface of core,N,TEIR1
6,NJD980528996,NBSA-SF10A,Newark Bay Diamond Alkali,,,SF10A,Atterberg Limits Core Bottom Sediment Sample,2012-10-19 12:04:00,N,,0,32,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10A,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389703,LIQLIM,Liquid Limit,,89.0,89.0,%,,Yes,Y,,,,,,,,,89.0,89.0,%,TRG,-74.1345762,40.665691,,,-0.5249328,0,-1.049866,-74.1345762,40.665691,,,Water Depth = 13.5 ft. Oxic layer at 1 cm,N,TEIR1
7,NJD980528996,NBSA-SF10A,Newark Bay Diamond Alkali,,,SF10A,Atterberg Limits Core Bottom Sediment Sample,2012-10-19 12:04:00,N,,0,32,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10A,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389703,PLASIND,Plasticity Index,,58.0,58.0,%,,Yes,Y,,,,,,,,,58.0,58.0,%,TRG,-74.1345762,40.665691,,,-0.5249328,0,-1.049866,-74.1345762,40.665691,,,Water Depth = 13.5 ft. Oxic layer at 1 cm,N,TEIR1
8,NJD980528996,NBSA-SF10A,Newark Bay Diamond Alkali,,,SF10A,Atterberg Limits Core Bottom Sediment Sample,2012-10-19 12:04:00,N,,0,32,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10A,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389703,PLASLIM,Plastic Limit,,31.0,31.0,%,,Yes,Y,,,,,,,,,31.0,31.0,%,TRG,-74.1345762,40.665691,,,-0.5249328,0,-1.049866,-74.1345762,40.665691,,,Water Depth = 13.5 ft. Oxic layer at 1 cm,N,TEIR1
9,NJD980528996,NBSA-SF10B,Newark Bay Diamond Alkali,,,SF10B,Atterberg Limits Core Bottom Sediment Sample,2012-10-19 12:20:00,N,,0,30,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10B,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389704,LIQLIM,Liquid Limit,,84.0,84.0,%,,Yes,Y,,,,,,,,,84.0,84.0,%,TRG,-74.1345762,40.665691,,,-0.4921245,0,-0.984249,-74.1345762,40.665691,,,Water Depth = 13.5 ft. Oxic layer at 1 cm,N,TEIR1
10,NJD980528996,NBSA-SF10B,Newark Bay Diamond Alkali,,,SF10B,Atterberg Limits Core Bottom Sediment Sample,2012-10-19 12:20:00,N,,0,30,cm,,SE,,,,2012 LBG Newark Bay SedFlume Atterberg,,,,LB,SF10B,SE,DRY,GTPB,D4318,2012-12-12,,T,INITIAL,,,,GTX12408,,1,,,389704,PLASIND,Plasticity Index,,51.0,51.0,%,,Yes,Y,,,,,,,,,51.0,51.0,%,TRG,-74.1345762,40.665691,,,-0.4921245,0,-0.984249,-74.1345762,40.665691,,,Water Depth = 13.5 ft. Oxic layer at 1 cm,N,TEIR1
