,facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
0,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,E1631,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661979,7439-97-6,Mercury,Y,1810.0,1810.0,ng/g,31.1,Yes,Y,,,,,,31.1,ng/g,,1810.0,1810.0,ng/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
1,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,13029-08-8,"Dichlorobiphenyl; 2,2'- (PCB 4)",Y,2300.0,2300.0,pg/g,57.0,Yes,Y,,,,,,57.0,pg/g,,2300.0,2300.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
2,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,15968-05-5,"Tetrachlorobiphenyl; 2,2',6,6'- (PCB 54)",Y,430.0,430.0,pg/g,57.0,Yes,Y,,,,,,57.0,pg/g,,430.0,430.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
3,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,16605-91-7,"Dichlorobiphenyl; 2,3- (PCB 5)",Y,68.0,68.0,pg/g,68.0,Yes,N,U,,,,,68.0,pg/g,,,,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
4,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,16606-02-3,"Trichlorobiphenyl; 2,4',5- (PCB 31)",Y,17000.0,17000.0,pg/g,570.0,Yes,Y,,,,,,570.0,pg/g,,17000.0,17000.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
5,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,2050-67-1,"Dichlorobiphenyl; 3,3'- (PCB 11)",Y,4900.0,4900.0,pg/g,69.0,Yes,Y,,,,,,69.0,pg/g,,4900.0,4900.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
6,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,2050-68-2,"Dichlorobiphenyl; 4,4'- (PCB 15)",Y,9500.0,9500.0,pg/g,570.0,Yes,Y,,,,,,570.0,pg/g,,9500.0,9500.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
7,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,2051-24-3,Decachlorobiphenyl (PCB 209),Y,4200.0,4200.0,pg/g,57.0,Yes,Y,,,,,,57.0,pg/g,,4200.0,4200.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
8,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,2051-60-7,Chlorobiphenyl; 2- (PCB 1),Y,950.0,950.0,pg/g,57.0,Yes,Y,,,,,,57.0,pg/g,,950.0,950.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
9,NJD980528996,PRSS-01,,,,SERAS-267-0038,SERAS-267-0038,2015-09-29,N,,,,,,SE,,,,2015 ERT RM10.9 Suface Sediment Sampling,,,,LB,UNKNOWN,SE,DRY,LMSERAS,EPA METHOD 1668A,2015-10-02,,T,INITIAL,,,,Unknown,,1,,,661980,2051-61-8,Chlorobiphenyl; 3- (PCB 2),Y,270.0,270.0,pg/g,57.0,Yes,Y,,,,,,57.0,pg/g,,270.0,270.0,pg/g,TRG,-74.1329218558,40.8188719823,,,,,,-74.1329218558,40.8188719823,,,,Y,
