Party Associated with Site,Property at Issue Shorthand,Site Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
21st Century Fox (TFCF),Montrose Site,"100/120 Lister Avenue, Newark",40.73932,-74.1345,,21st Century Fox (TFCF),1939,1972,"manufactured many organic chemicals; herbicides; and pesticides, including up to 3-million pounds of DDT per year.","DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury","2,4,5-T
2,4-D
bis(2-ethylhexyl) phthalate
butyl phthalate
dimethyl phthalate
dioctyl phthalate
dioxin associated compounds","DDx
bis(2-ethylhexyl) phthalate
butyl phthalate
chlorinated benzenes
copper
dichlorobenzene
dichlorophenol
dimethyl phthalate
dioctyl phthalate
hexachlorobenzene
lead
lindane
pentachlorophenol
phthalic anhydride
propanil
tetrachlorobenzene
trichlorobenzene
trichlorophenol","copper
dioxins
furans
lead","DDx
chlorinated benzenes
dichlorophenol
dieldrin
lindane
mercury
trichlorophenol",21st Century Fox (TFCF),,,
21st Century (TFCF),,70 Lister Ave,40.73875,-74.1367,,Montrose Chemical Co.,1935,1943,,,,,,"chlorobenzene
dichlorobenzene
dioxins
furans
trichlorobenzene",,,,
3M Company,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
3M Company,Bayonne Barrel & Drum Property,"150-154 Raymond Bouldevard, Neark NJ",,,,Bayonne Barrel & Drum,1940,1983,"cleaned and reconditioned steel drums which contained waste, including hazardous substances","DDT
PAHs
copper
dioxins
lead
mercury",,,"PAHs
PCBs
copper
dioxins
lead
mercury
metals",,Bayonne Barrel and Drum Defendants,,,
"Akzo Nobel Coatings, Inc.",CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
"Akzo Nobel Coatings, Inc.",Bayonne Barrel & Drum Property,"150-154 Raymond Bouldevard, Neark NJ",,,,Bayonne Barrel & Drum,1940,1983,"cleaned and reconditioned steel drums which contained waste, including hazardous substances","DDT
PAHs
copper
dioxins
lead
mercury",,,"PAHs
PCBs
copper
dioxins
lead
mercury
metals",,Bayonne Barrel and Drum Defendants,,,
"Alden Leeds, Inc.",Alden Leeds-Kearny,"55 Jacobus Ave., South Kearny, NJ",,,,Alden Leeds Inc.,Before 1972,1999,manufactured plastic bottles which were filled with bleach and ammonia,copper,,"ammonium hydroxide
cadmium
copper
sodium hypochlorite",cadmium,,Alden Leeds Inc.,,,
Alliance Chemical Inc.,,"33 Avenue P, Newark NJ",,,,Alliance Chemical Inc.,1946 (at least),2001,"manufactured specialty organic chemicals including intermediates for textile, photographic, dye and migmate intermediates and diazo and zinc compounds","DDx
PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",Dioxin associated compounds,"copper
dioxin-associated compounds
dioxins
furans
mercury",,"DDx
PCBs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury
other metals
xylene","Alliance Chemical Inc.
Pfister Urban Renewal Corporation",,,
American Inks & Coatings Corporation,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
"APOLAN International, Inc.",CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Arkema Inc.,,"25 Main Stret, Belleville NJ",,,,"Wallace & Tiernan, Inc. (WTI)",1913,1997,"WTI manufactured measurement and control equipment, including chlorinators, pressure instruments, flow meters, dry chemical feed systems, and cathodic protection systems","copper
mercury",,"cadmium
chrome
copper
nickel","copper plating solution
flammable solvents
lead waste
waste painting materials","cadmium
copper
mercury
nickel",Arkema Inc.,,,
Ashland LLC,Ashland - Kearny,"1106 Harrison Avenue, Kearny NJ",,,,Drew Chemical Corporation,1970,,"Drew Chemical Corporation manufactured industrial water treatment chemicals, boiler compounds, paint defoamers, and other specialty chemicals. It also performed reactor work for esterification and saponfication and operated a warehouse facility.","PAHs
copper
dioxins
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury","acrylamide
chromium compounds
copper
ethylene glycol
lead
volatile organic compounds
zinc compounds","PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury
polyacrylamide polymer
semi-volatile organic compounds
volatile organic compounds",Ashland LLC,,,
Ashland LLC,Foundry Property,"221 Foundry Street, Newark NJ",,,,Ashland LLC,1968,1990,"received, stored, and repackage aliphatic and aromatic hydrocarbons, acids, alcohols, alkines, amines, esters, ethers, glycols, halogenated solvents, ketones, nitroparaffins","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury",,,,
Atlantic Richfield Company,Getty Newark Terminal Site,"86 Doremus Ave., Newark NJ",,,1.5,Atlantic Richfield Company,1930,1950,"operated a bulk petroleum storage facility, eventually replaced at the site by LeeMilt","PAHs
PCBs
copper
lead",,lead,,,"Atlantic Richfield Company
LeeMilt’s Petroleum, Inc.",,,
