,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
0,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",48.3,pg/g,0.485,Y,Yes,-74.03950151,40.87977815
1,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",229.0,pg/g,0.481,Y,Yes,-74.06946353,40.79805402
2,Kill Van Kull,8/20/1981,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",55.4,pg/g,0.495,Y,Yes,-74.09882222,40.64870255
3,Newark Bay,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",108.0,pg/g,0.481,Y,Yes,-74.13911149,40.67119979
4,Newark Bay,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",113.0,pg/sample,0.671,Y,Yes,-74.13911149,40.67119979
5,Passaic River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",310.0,pg/sample,0.672,Y,Yes,-74.16309437,40.75970917
6,Hackensack River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",43.3,pg/sample,0.678,Y,Yes,-74.03950151,40.87977815
7,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",63.3,pg/sample,0.671,Y,Yes,-74.03950151,40.87977815
8,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",112.0,pg/sample,0.735,Y,Yes,-74.06946353,40.79805402
9,Newark Bay,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",108.0,pg/sample,0.67,Y,Yes,-74.13911149,40.67119979
