LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",48.3,pg/g,0.485,Y,Yes,-74.03950151,40.87977815
Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",229.0,pg/g,0.481,Y,Yes,-74.06946353,40.79805402
Kill Van Kull,8/20/1981,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",55.4,pg/g,0.495,Y,Yes,-74.09882222,40.64870255
Newark Bay,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",108.0,pg/g,0.481,Y,Yes,-74.13911149,40.67119979
Newark Bay,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",113.0,pg/sample,0.671,Y,Yes,-74.13911149,40.67119979
Passaic River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",310.0,pg/sample,0.672,Y,Yes,-74.16309437,40.75970917
Hackensack River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",43.3,pg/sample,0.678,Y,Yes,-74.03950151,40.87977815
Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",63.3,pg/sample,0.671,Y,Yes,-74.03950151,40.87977815
Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",112.0,pg/sample,0.735,Y,Yes,-74.06946353,40.79805402
Newark Bay,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",108.0,pg/sample,0.67,Y,Yes,-74.13911149,40.67119979
Hackensack River,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",346.0,pg/sample,0.674,Y,Yes,-74.09660014,40.73375493
Passaic River,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",396.0,pg/sample,0.675,Y,Yes,-74.12005419,40.72438085
Kill Van Kull,10/3/1986,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",216.0,pg/sample,0.671,Y,Yes,-74.13897914,40.64369893
Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",64.7,pg/sample,0.672,Y,Yes,-74.06946353,40.79805402
Arthur Kill,8/12/1996,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",35.9,pg/g,0.243,Y,Yes,-74.19741846,40.61367142
Hackensack River,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",54.3,pg/g,0.739,Y,Yes,-74.03112978,40.81928049
Kill Van Kull,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",15.7,pg/g,0.248,Y,Yes,-74.09882222,40.64870255
Arthur Kill,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",43.8,pg/g,0.248,Y,Yes,-74.19741846,40.61367142
Kill Van Kull,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1613B MLA017,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",18.6,pg/g,0.245,Y,Yes,-74.09882222,40.64870255
