,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
38,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",181.0,pg/g,40.5,Y,Yes,-74.03950151,40.87977815
39,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",197.0,pg/g,34.1,Y,Yes,-74.06946353,40.79805402
40,Kill Van Kull,8/20/1981,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",173.0,pg/g,34.4,Y,Yes,-74.09882222,40.64870255
41,Newark Bay,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",164.0,pg/g,43.6,Y,Yes,-74.13911149,40.67119979
42,Newark Bay,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",128.0,pg/sample,65.2,Y,Yes,-74.13911149,40.67119979
43,Passaic River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",281.0,pg/sample,122.0,Y,Yes,-74.16309437,40.75970917
44,Hackensack River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",102.0,pg/sample,49.5,Y,Yes,-74.03950151,40.87977815
45,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",114.0,pg/sample,54.3,Y,Yes,-74.03950151,40.87977815
46,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",179.0,pg/sample,88.7,Y,Yes,-74.06946353,40.79805402
47,Newark Bay,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",148.0,pg/sample,72.4,Y,Yes,-74.13911149,40.67119979
48,Hackensack River,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",295.0,pg/sample,82.4,Y,Yes,-74.09660014,40.73375493
49,Passaic River,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",180.0,pg/sample,145.0,Y,Yes,-74.12005419,40.72438085
50,Kill Van Kull,10/3/1986,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",464.0,pg/sample,173.0,Y,Yes,-74.13897914,40.64369893
51,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",98.7,pg/sample,49.7,Y,Yes,-74.06946353,40.79805402
52,Arthur Kill,8/12/1996,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",174.0,pg/g,41.0,Y,Yes,-74.19741846,40.61367142
53,Hackensack River,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",99.4,pg/g,32.0,Y,Yes,-74.03112978,40.81928049
54,Kill Van Kull,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",61.4,pg/g,10.8,Y,Yes,-74.09882222,40.64870255
55,Arthur Kill,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",167.0,pg/g,43.2,Y,Yes,-74.19741846,40.61367142
56,Kill Van Kull,10/7/2003,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",69.3,pg/g,17.6,Y,Yes,-74.09882222,40.64870255
954,01A,12/10/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.054,ug/kg,,Y,Yes,-74.13005833,40.88624485
955,01A,12/10/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.004,ug/kg,0.004,N,Yes,-74.13005833,40.88624485
956,01A,12/10/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.0072,ug/kg,,Y,Yes,-74.13005833,40.88624485
957,02A,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.025,ug/kg,,Y,Yes,-74.12028209,40.87926857
958,02A,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.089,ug/kg,,Y,Yes,-74.12028209,40.87926857
959,02A,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.019,ug/kg,,Y,Yes,-74.12028209,40.87926857
960,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.087,ug/kg,,Y,Yes,-74.13170759,40.82193496
961,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.064,ug/kg,,Y,Yes,-74.13170759,40.82193496
962,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.056,ug/kg,,Y,Yes,-74.13170759,40.82193496
963,05B,12/11/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.46,ug/kg,0.46,N,Yes,-74.13170759,40.82193496
964,06A,12/3/1991,1991 Core Sediment Investigation,PCB CONGENER,57465-28-8,"Pentachlorobiphenyl; 3,3',4,4',5- (PCB 126)",0.0081,ug/kg,,Y,Yes,-74.13074333,40.82008327
