,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
19,Hackensack River,7/23/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",54.7,pg/g,54.7,N,Yes,-74.03950151,40.87977815
20,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",45.0,pg/g,45.0,N,Yes,-74.06946353,40.79805402
21,Kill Van Kull,8/20/1981,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",42.5,pg/g,42.5,N,Yes,-74.09882222,40.64870255
22,Newark Bay,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",39.1,pg/g,39.1,N,Yes,-74.13911149,40.67119979
23,Newark Bay,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",37.8,pg/sample,37.8,N,Yes,-74.13911149,40.67119979
24,Passaic River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",119.0,pg/sample,119.0,N,Yes,-74.16309437,40.75970917
25,Hackensack River,4/26/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",32.3,pg/sample,32.3,N,Yes,-74.03950151,40.87977815
26,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",42.7,pg/sample,42.7,N,Yes,-74.03950151,40.87977815
27,Hackensack River,7/30/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",46.2,pg/sample,46.2,N,Yes,-74.06946353,40.79805402
28,Newark Bay,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",46.7,pg/sample,46.7,N,Yes,-74.13911149,40.67119979
29,Hackensack River,8/20/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",92.2,pg/sample,92.2,N,Yes,-74.09660014,40.73375493
30,Passaic River,8/21/1985,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",94.2,pg/sample,94.2,N,Yes,-74.12005419,40.72438085
31,Kill Van Kull,10/3/1986,1981-2014 RPI(Bopp) SED/ SUS Matter,E1668A MLA010,32774-16-6,"Hexachlorobiphenyl; 3,3',4,4',5,5'- (PCB 169)",227.0,pg/sample,227.0,N,Yes,-74.13897914,40.64369893
