Site_Operator,Site_Address,Latitude,Longitude,Main_Contaminant _Category,Description_of_Operations,Property at Issue Shorthand,River Mile (RM),Beginning Year of Operations,End Year of Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Party Associated with Site
A.E. Staley Manufacturing Company,"100 Third Ave., Kearny NJ",40.7584422,-74.1409105,copper,"manufactured polymers, rubber-based adhesives, and leather finishes",,,,1978,"copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
nickel
silver",,,Staley Holdings LLC,Staley Holdings LLC
A.E. Staley Manufacturing Company,"320 Schuyler Ave., Kearny NJ",40.7597209,-74.1428513,copper,"manufactured polymers, rubber-based adhesives, and leather finishes",,,1966,1975 (at least),"copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
methyl acrelate
methyl methacrelate
nickel
silver",,,Staley Holdings LLC,Staley Holdings LLC
Alden Leeds Inc.,"55 Jacobus Ave., South Kearny, NJ",40.7353448,-74.1133976,copper,manufactured plastic bottles which were filled with bleach and ammonia,Alden Leeds-Kearny,,Before 1972,1999,copper,,"ammonium hydroxide
cadmium
copper
sodium hypochlorite",cadmium,,Alden Leeds Inc.,"Alden Leeds, Inc."
Alliance Chemical Inc.,"33 Avenue P, Newark NJ",40.7204718,-74.1316389,mercury,"manufactured specialty organic chemicals including intermediates for textile, photographic, dye and migmate intermediates and diazo and zinc compounds",,,1946 (at least),2001,"DDx
PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",Dioxin associated compounds,"copper
dioxin-associated compounds
dioxins
furans
mercury",,"DDx
PCBs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury
other metals
xylene","Alliance Chemical Inc.
Pfister Urban Renewal Corporation",Alliance Chemical Inc.
Ashland Chemical Company,"221 Foundry Street, Newark NJ",40.7260349,-74.1304189,PAHs,"received, stored, and repackage aliphatic and aromatic hydrocarbons, acids, alcohols, alkines, amines, esters, ethers, glycols, halogenated solvents, ketones, nitroparaffins",Foundry Property,,1968,1990,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury",,Ashland LLC
Atlantic Richfield Company,"86 Doremus Ave., Newark NJ",40.7303078,-74.1205698,lead,"operated a bulk petroleum storage facility, eventually replaced at the site by LeeMilt",Getty Newark Terminal Site,1.5,1930,1950,"PAHs
PCBs
copper
lead",,lead,,,"Atlantic Richfield Company
LeeMilt’s Petroleum, Inc.",Atlantic Richfield Company
"Atlas Refinery, Inc.","142 Lockwood Street, Newark NJ",40.7376976,-74.1327357,lead,Atlas Refining's operations centered around generating and refining chemicals,,,1887,present,"PAHs
copper
lead
mercury","acetylene
ammonia
diethyl sulfate
ethyl alcohol
formaldehyde
fuel oil #6
mercury
phenol
selenium
sulfuric acid","acrylic acid
anhydrous ammonia
fuel oil
sodium bisulfate
sulfuric acid","arsenic
copper
cyanide
formaldehyde
iron
lead
mercury
petroleum hydrocarbons
phenol",,"Atlas Refinery, Inc.","Atlas Refinery, Inc."
Automatic Electro Plating Corp.,"185 Foundry Street, Newark NJ",40.7284626,-74.1325752,copper,electroplating steel components with zinc or nickel finishes,Foundry Street Complex,,1970,2014,"copper
lead
mercury",,"arsenic
caustic soda
cyanide
lead
mercury
nickel
sulfuric acid
zinc","arsenic
copper
lead
mercury
zinc",,Foundry Street Corporation,Foundry Street Corporation
BASF Catalysts LLC,"1 West Central, Easte Newark NJ",40.7497019,-74.1636313,mercury,"manufactured materials such as potassium gold cyanide, silver cyanide salt, ink paste and ink powder",,,1953,,"PAHs
copper
lead
mercury","potassium gold cyanide
precious metal coating products
silver cyanide salt","111-Trichloroethane
arsenic
lead
mercury","sodium hydroxide
sodium sulfate",,BASF Catalysts LLC,BASF Catalysts LLC
BASF Corporation,"150 Wagaraw Road, Hawthorne NJ",40.9394458,-74.1595947,mercury,"manufactured textile pigment dispersions, dyestuffs, pigments, dyes, special polymers, and chemicals",BASF Hawthorne Site,,1946,1986,"chromium
copper
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",BASF Corporation,BASF Corporation
